Name,Nationality,National_Position,National_Kit,Club,Club_Position
Cristiano Ronaldo,Portugal,LS,7,Real Madrid,LW
Lionel Messi,Argentina,RW,10,FC Barcelona,RW
Neymar,Brazil,LW,10,FC Barcelona,LW
Luis SuÃ¡rez,Uruguay,LS,9,FC Barcelona,ST
Manuel Neuer,Germany,GK,1,FC Bayern,GK
De Gea,Spain,GK,1,Manchester Utd,GK
Robert Lewandowski,Poland,LS,9,FC Bayern,ST
Gareth Bale,Wales,RS,11,Real Madrid,RW
Zlatan IbrahimoviÄ‡,Sweden,,,Manchester Utd,ST
Thibaut Courtois,Belgium,GK,1,Chelsea,GK
